[KMEANS] Start kmeans on 2351 datafile [K = 3, dim = 2351, nbVec = 900000]
[KMEANS] structure initialisation done in 0.859578 sec
[KMEANS] Iteration: 1, Time: 2.770256, error_diff: inf
[KMEANS] Iteration: 2, Time: 2.656797, error_diff: 87594992.000000
[KMEANS] Iteration: 3, Time: 2.004130, error_diff: 12925055.000000
[KMEANS] Iteration: 4, Time: 1.416023, error_diff: 32089664.000000
[KMEANS] Iteration: 5, Time: 1.295233, error_diff: 2192378.500000
[KMEANS] Iteration: 6, Time: 1.153004, error_diff: 117169.679688
[KMEANS] Iteration: 7, Time: 0.946267, error_diff: 9138.609375
[KMEANS] Iteration: 8, Time: 0.851349, error_diff: 2225.155518
[KMEANS] Iteration: 9, Time: 0.852351, error_diff: 0.000000
[KMEANS] completed in 14.805089 sec
